OTUID	SRR4446532	SRR4446534	SRR4446536	SRR4446538	SRR4446540	SRR4446542	SRR4446544	SRR4446546	SRR4446548	SRR4446550	SRR4446552	SRR4446554	SRR4446557	SRR4446558	SRR4446559	SRR4446564	SRR4446566	SRR4446568	SRR4446570	SRR4446572	SRR4446574	SRR4446576	SRR4446578	SRR4446579	SRR4446582	SRR4446584	SRR4446586	SRR4446588	SRR4446590	SRR4446592	SRR4446594	SRR4446595	SRR4446597	SRR4446598	SRR4446601	SRR4446604	SRR4446605	SRR4446607	SRR4446609	SRR4446611	taxonomy
f95e640e1896296baf2ca04c3cdedca5	242.0	59.0	0.0	226.0	0.0	146.0	347.0	59.0	0.0	0.0	357.0	5100.0	278.0	1582.0	0.0	0.0	464.0	1456.0	113.0	49.0	1647.0	0.0	177.0	207.0	409.0	0.0	0.0	361.0	1505.0	190.0	0.0	842.0	1867.0	0.0	0.0	512.0	647.0	0.0	738.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia
46b7d1be4de5a5e5c521c46d6ee7444b	52.0	4233.0	104.0	0.0	807.0	377.0	0.0	0.0	0.0	86.0	0.0	0.0	118.0	0.0	0.0	583.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	1143.0	85.0	0.0	601.0	447.0	596.0	185.0	0.0	0.0	306.0	210.0	1349.0	1676.0	0.0	4547.0	518.0	75.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
204a0daaad4180af27f9deebc8522f35	848.0	0.0	1890.0	0.0	0.0	2922.0	335.0	29.0	0.0	0.0	0.0	0.0	169.0	15.0	0.0	249.0	7.0	0.0	510.0	0.0	0.0	0.0	2522.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5994.0	49.0	34.0	1180.0	0.0	0.0	797.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_massiliensis
b3e207573632fbdc489f9d9a3a58e971	0.0	625.0	204.0	0.0	252.0	0.0	57.0	2010.0	554.0	583.0	201.0	3011.0	0.0	294.0	280.0	0.0	1235.0	56.0	0.0	0.0	2165.0	0.0	49.0	362.0	26.0	80.0	1196.0	56.0	625.0	344.0	786.0	433.0	227.0	0.0	0.0	115.0	308.0	1144.0	0.0	190.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
072523aae6bbfb9a80ba4e3b8c5ccac6	51.0	0.0	1001.0	71.0	53.0	179.0	458.0	228.0	0.0	0.0	704.0	831.0	472.0	208.0	152.0	349.0	1151.0	405.0	382.0	439.0	0.0	0.0	767.0	238.0	85.0	30.0	348.0	1386.0	0.0	373.0	1422.0	384.0	0.0	1184.0	122.0	0.0	1050.0	0.0	427.0	1127.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira
f22de95872b2afca556f23c90db691c6	724.0	599.0	397.0	133.0	0.0	0.0	123.0	0.0	0.0	0.0	938.0	0.0	0.0	481.0	2822.0	258.0	32.0	715.0	120.0	0.0	0.0	768.0	305.0	0.0	0.0	402.0	0.0	274.0	374.0	329.0	1289.0	0.0	0.0	119.0	68.0	221.0	418.0	2862.0	208.0	62.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum
15676fc460216a4fff9a804e28431d77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	503.0	0.0	0.0	0.0	0.0	0.0	0.0	6297.0	0.0	0.0	0.0	228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1140.0	0.0	0.0	6765.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__CAG-352; s__uncultured_bacterium
bdae3a59963baf3233e5f34a8db5ea51	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14601.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella
213b2b3878493e813d8480bdfb1a22e6	0.0	0.0	0.0	113.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	64.0	367.0	0.0	0.0	0.0	0.0	1171.0	185.0	0.0	0.0	8009.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	4419.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_stercorea
a7ab5c05efdf41f1d64111a3aef33cf9	0.0	0.0	0.0	0.0	6689.0	1647.0	664.0	0.0	0.0	0.0	3450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	903.0	0.0	0.0	0.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
4fddb73d6e0290a1476863aa51c0aca5	418.0	0.0	1538.0	11.0	0.0	1858.0	263.0	0.0	0.0	560.0	0.0	0.0	43.0	0.0	692.0	546.0	42.0	566.0	0.0	111.0	0.0	652.0	1484.0	1383.0	0.0	242.0	0.0	411.0	0.0	0.0	0.0	667.0	99.0	357.0	218.0	283.0	247.0	61.0	479.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
3b9d30fbb2ff48dd18d836a3cc5e09c3	321.0	478.0	472.0	130.0	435.0	285.0	354.0	368.0	68.0	0.0	204.0	388.0	92.0	587.0	697.0	229.0	258.0	406.0	394.0	175.0	459.0	362.0	560.0	858.0	173.0	426.0	493.0	214.0	0.0	228.0	205.0	296.0	90.0	457.0	504.0	198.0	405.0	295.0	103.0	319.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
bf120e353388f9e6d5388a205361f40f	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	228.0	0.0	65.0	0.0	772.0	0.0	170.0	449.0	0.0	0.0	0.0	150.0	4421.0	0.0	0.0	372.0	0.0	0.0	0.0	447.0	0.0	0.0	0.0	2083.0	0.0	0.0	3267.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__CAG-352; s__uncultured_bacterium
